2TH 2:3.4 ἐξαπατήσῃ V-AAS-3S 1818 ἐξαπατάω ! ἐξαπατάω
2TH 2:3.5 κατὰ PREP 2596 κατά ! κατά
2TH 2:3.6 μηδένα A-ASM-N 3367 μηδείς ! μηδείς
2TH 2:3.7 τρόπον· N-ASM 5158 τρόπος ! τρόπος
2TH 2:3.8 ὅτι CONJ 3754 ὅτι ! ὅτι
2TH 2:3.9 ἐὰν COND 1437 ἐάν ! ἐάν
2TH 2:3.10 μὴ PRT-N 3361 μή ! μή
2TH 2:3.11 ἔλθῃ V-2AAS-3S 2064 ἔρχομαι ! ἔρχομαι
2TH 2:3.12 ἡ T-NSF 3588 ὁ ! ὁ
2TH 2:3.13 ἀποστασία N-NSF 646 ἀποστασία ! ἀποστασία
2TH 2:3.14 πρῶτον ADV-S 4412 πρῶτον ! πρῶτος
2TH 2:3.15 καὶ CONJ 2532 καί ! καί
2TH 2:3.16 ἀποκαλυφθῇ V-APS-3S 601 ἀποκαλύπτω ! ἀποκαλύπτω
2TH 2:3.17 ὁ T-NSM 3588 ὁ ! ὁ
2TH 2:3.18 ἄνθρωπος N-NSM 444 ἄνθρωπος ! ἄνθρωπος
2TH 2:3.19 τῆς T-GSF 3588 ὁ ! ὁ
2TH 2:3.20 ἀνομίας, N-GSF 458 ἀνομία ! ἀνομία
2TH 2:3.21 ὁ T-NSM 3588 ὁ ! ὁ
2TH 2:3.22 υἱὸς N-NSM 5207 υἱός ! υἱός
2TH 2:3.23 τῆς T-GSF 3588 ὁ ! ὁ
2TH 2:3.24 ἀπωλείας, N-GSF 684 ἀπώλεια ! ἀπώλεια
2TH 2:4.1 ὁ T-NSM 3588 ὁ ! ὁ
2TH 2:4.2 ἀντικείμενος V-PNP-NSM 480 ἀντίκειμαι ! ἀντίκειμαι
2TH 2:4.3 καὶ CONJ 2532 καί ! καί
2TH 2:4.4 ὑπεραιρόμενος V-PPP-NSM 5229 ὑπεραίρομαι ! ὑπεραίρω
2TH 2:4.5 ἐπὶ PREP 1909 ἐπί ! ἐπί
2TH 2:4.6 πάντα A-APN 3956 πᾶς ! πᾶς
2TH 2:4.7 λεγόμενον V-PPP-ASN 3004 λέγω ! λέγω
2TH 2:4.8 θεὸν N-ASM 2316 θεός ! θεός
2TH 2:4.9 ἢ PRT 2228 ἤ ! ἤ
2TH 2:4.10 σέβασμα, N-ASN 4574 σέβασμα ! σέβασμα
2TH 2:4.11 ὥστε CONJ 5620 ὥστε ! ὥστε
2TH 2:4.12 αὐτὸν P-ASM 846 αὐτός ! αὐτός
2TH 2:4.13 εἰς PREP 1519 εἰς ! εἰς
2TH 2:4.14 τὸν T-ASM 3588 ὁ ! ὁ
2TH 2:4.15 ναὸν N-ASM 3485 ναός ! ναός
2TH 2:4.16 τοῦ T-GSM 3588 ὁ ! ὁ
2TH 2:4.17 θεοῦ N-GSM 2316 θεός ! θεός
2TH 2:4.18 καθίσαι, V-AAN 2523 καθίζω ! καθίζω
2TH 2:4.19 ἀποδεικνύντα V-PAP-ASM 584 ἀποδείκνυμι ! ἀποδείκνυμι
2TH 2:4.20 ἑαυτὸν F-3ASM 1438 ἑαυτοῦ ! ἑαυτοῦ
2TH 2:4.21 ὅτι CONJ 3754 ὅτι ! ὅτι
2TH 2:4.22 ἔστιν V-PAI-3S 1510 εἰμί ! εἰμί
2TH 2:4.23 θεός. N-NSM 2316 θεός ! θεός
2TH 2:5.1 Οὐ PRT-N 3756 οὐ ! οὐ
2TH 2:5.2 μνημονεύετε V-PAI-2P 3421 μνημονεύω ! μνημονεύω
2TH 2:5.3 ὅτι CONJ 3754 ὅτι ! ὅτι
2TH 2:5.4 ἔτι ADV 2089 ἔτι ! ἔτι
2TH 2:5.5 ὢν V-PAP-NSM 1510 εἰμί ! εἰμί
2TH 2:5.6 πρὸς PREP 4314 πρός ! πρός
2TH 2:5.7 ὑμᾶς P-2AP 5210 ὑμεῖς ! σύ
2TH 2:5.8 ταῦτα D-APN 3778 οὗτος ! οὗτος
2TH 2:5.9 ἔλεγον V-IAI-1S 3004 λέγω ! λέγω
2TH 2:5.10 ὑμῖν; P-2DP 5210 ὑμεῖς ! σύ
2TH 2:6.1 καὶ CONJ 2532 καί ! καί
2TH 2:6.2 νῦν ADV 3568 νῦν ! νῦν
2TH 2:6.3 τὸ T-ASN 3588 ὁ ! ὁ
2TH 2:6.4 κατέχον V-PAP-ASN 2722 κατέχω ! κατέχω
2TH 2:6.5 οἴδατε, V-RAI-2P 1492 εἴδω ! οἶδα
2TH 2:6.6 εἰς PREP 1519 εἰς ! εἰς
2TH 2:6.7 τὸ T-ASN 3588 ὁ ! ὁ
2TH 2:6.8 ἀποκαλυφθῆναι V-APN 601 ἀποκαλύπτω ! ἀποκαλύπτω
2TH 2:6.9 αὐτὸν P-ASM 846 αὐτός ! αὐτός
2TH 2:6.10 ἐν PREP 1722 ἐν ! ἐν
2TH 2:6.11 τῷ T-DSM 3588 ὁ ! ὁ
2TH 2:6.12 αὐτοῦ P-GSN 846 αὐτός ! αὐτός
2TH 2:6.13 καιρῷ. N-DSM 2540 καιρός ! καιρός
2TH 2:7.1 τὸ T-NSN 3588 ὁ ! ὁ
2TH 2:7.2 γὰρ CONJ 1063 γάρ ! γάρ
2TH 2:7.3 μυστήριον N-NSN 3466 μυστήριον ! μυστήριον
2TH 2:7.4 ἤδη ADV 2235 ἤδη ! ἤδη
2TH 2:7.5 ἐνεργεῖται V-PMI-3S 1754 ἐνεργέω ! ἐνεργέω
2TH 2:7.6 τῆς T-GSF 3588 ὁ ! ὁ
